landmark_checklist: 5 seeds x 15000 steps x 100-eval, coef=0.05

[baseline] starting seed=1000 (15000 steps)...
  [seed=1001] step=13600/15000 avg_step=18.1ms elapsed=247s eta=25s eval(20)=0.300
  [seed=1001] step=13800/15000 avg_step=18.2ms elapsed=251s eta=22s eval(20)=0.300
  [seed=1001] step=14000/15000 avg_step=18.2ms elapsed=254s eta=18s eval(20)=0.300
  [seed=1001] step=14200/15000 avg_step=18.2ms elapsed=258s eta=15s eval(20)=0.300
  [seed=1001] step=14400/15000 avg_step=18.2ms elapsed=262s eta=11s eval(20)=0.300
  [seed=1001] step=14600/15000 avg_step=18.2ms elapsed=266s eta=7s eval(20)=0.300
  [seed=1001] step=14800/15000 avg_step=18.2ms elapsed=269s eta=4s eval(20)=0.300
  [seed=1001] step=15000/15000 avg_step=18.2ms elapsed=273s eta=0s eval(20)=0.300
[baseline] seed=1001 done: old_style=0.3333 eval_acc(100)=0.1900
[baseline] starting seed=1002 (15000 steps)...
  [seed=1002] step=200/15000 avg_step=9.2ms elapsed=2s eta=136s eval(20)=0.200
  [seed=1002] step=400/15000 avg_step=9.4ms elapsed=4s eta=137s eval(20)=0.250
  [seed=1002] step=600/15000 avg_step=10.3ms elapsed=6s eta=148s eval(20)=0.400
  [seed=1002] step=800/15000 avg_step=11.2ms elapsed=9s eta=159s eval(20)=0.550
  [seed=1002] step=1000/15000 avg_step=11.8ms elapsed=12s eta=165s eval(20)=0.450
  [seed=1002] step=1200/15000 avg_step=12.9ms elapsed=15s eta=178s eval(20)=0.450
  [seed=1002] step=1400/15000 avg_step=13.7ms elapsed=19s eta=186s eval(20)=0.350
  [seed=1002] step=1600/15000 avg_step=14.3ms elapsed=23s eta=191s eval(20)=0.450
  [seed=1002] step=1800/15000 avg_step=14.7ms elapsed=27s eta=194s eval(20)=0.500
  [seed=1002] step=2000/15000 avg_step=15.1ms elapsed=30s eta=196s eval(20)=0.450
  [seed=1002] step=2200/15000 avg_step=15.4ms elapsed=34s eta=197s eval(20)=0.400
  [seed=1002] step=2400/15000 avg_step=15.7ms elapsed=38s eta=198s eval(20)=0.350
  [seed=1002] step=2600/15000 avg_step=15.9ms elapsed=41s eta=197s eval(20)=0.350
  [seed=1002] step=2800/15000 avg_step=16.1ms elapsed=45s eta=196s eval(20)=0.350
  [seed=1002] step=3000/15000 avg_step=16.2ms elapsed=49s eta=195s eval(20)=0.350
  [seed=1002] step=3200/15000 avg_step=16.4ms elapsed=52s eta=193s eval(20)=0.400
  [seed=1002] step=3400/15000 avg_step=16.6ms elapsed=56s eta=192s eval(20)=0.350
  [seed=1002] step=3600/15000 avg_step=16.7ms elapsed=60s eta=190s eval(20)=0.350
  [seed=1002] step=3800/15000 avg_step=16.8ms elapsed=64s eta=188s eval(20)=0.400
  [seed=1002] step=4000/15000 avg_step=16.9ms elapsed=68s eta=186s eval(20)=0.400
  [seed=1002] step=4200/15000 avg_step=17.0ms elapsed=71s eta=184s eval(20)=0.450
  [seed=1002] step=4400/15000 avg_step=17.1ms elapsed=75s eta=181s eval(20)=0.250
  [seed=1002] step=4600/15000 avg_step=17.1ms elapsed=79s eta=178s eval(20)=0.200
  [seed=1002] step=4800/15000 avg_step=17.2ms elapsed=82s eta=175s eval(20)=0.150
  [seed=1002] step=5000/15000 avg_step=17.2ms elapsed=86s eta=172s eval(20)=0.400
  [seed=1002] step=5200/15000 avg_step=17.3ms elapsed=90s eta=169s eval(20)=0.300
  [seed=1002] step=5400/15000 avg_step=17.3ms elapsed=94s eta=166s eval(20)=0.300
  [seed=1002] step=5600/15000 avg_step=17.4ms elapsed=97s eta=163s eval(20)=0.350
  [seed=1002] step=5800/15000 avg_step=17.4ms elapsed=101s eta=160s eval(20)=0.400
  [seed=1002] step=6000/15000 avg_step=17.5ms elapsed=105s eta=157s eval(20)=0.550
  [seed=1002] step=6200/15000 avg_step=17.5ms elapsed=108s eta=154s eval(20)=0.550
  [seed=1002] step=6400/15000 avg_step=17.5ms elapsed=112s eta=151s eval(20)=0.550
  [seed=1002] step=6600/15000 avg_step=17.6ms elapsed=116s eta=148s eval(20)=0.550
  [seed=1002] step=6800/15000 avg_step=17.6ms elapsed=120s eta=144s eval(20)=0.550
  [seed=1002] step=7000/15000 avg_step=17.6ms elapsed=123s eta=141s eval(20)=0.550
  [seed=1002] step=7200/15000 avg_step=17.7ms elapsed=127s eta=138s eval(20)=0.550
  [seed=1002] step=7400/15000 avg_step=17.7ms elapsed=131s eta=134s eval(20)=0.550
  [seed=1002] step=7600/15000 avg_step=17.7ms elapsed=135s eta=131s eval(20)=0.550
  [seed=1002] step=7800/15000 avg_step=17.7ms elapsed=138s eta=128s eval(20)=0.550
  [seed=1002] step=8000/15000 avg_step=17.7ms elapsed=142s eta=124s eval(20)=0.550
  [seed=1002] step=8200/15000 avg_step=17.8ms elapsed=146s eta=121s eval(20)=0.550
  [seed=1002] step=8400/15000 avg_step=17.8ms elapsed=149s eta=117s eval(20)=0.550
  [seed=1002] step=8600/15000 avg_step=17.8ms elapsed=153s eta=114s eval(20)=0.550
  [seed=1002] step=8800/15000 avg_step=17.8ms elapsed=157s eta=111s eval(20)=0.650
  [seed=1002] step=9000/15000 avg_step=17.8ms elapsed=161s eta=107s eval(20)=0.650
  [seed=1002] step=9200/15000 avg_step=17.9ms elapsed=164s eta=104s eval(20)=0.650
  [seed=1002] step=9400/15000 avg_step=17.9ms elapsed=168s eta=100s eval(20)=0.650
  [seed=1002] step=9600/15000 avg_step=17.9ms elapsed=172s eta=97s eval(20)=0.700
  [seed=1002] step=9800/15000 avg_step=17.9ms elapsed=175s eta=93s eval(20)=0.650
  [seed=1002] step=10000/15000 avg_step=17.9ms elapsed=179s eta=90s eval(20)=0.600
  [seed=1002] step=10200/15000 avg_step=17.9ms elapsed=183s eta=86s eval(20)=0.600
  [seed=1002] step=10400/15000 avg_step=17.9ms elapsed=186s eta=82s eval(20)=0.650
  [seed=1002] step=10600/15000 avg_step=17.9ms elapsed=190s eta=79s eval(20)=0.650
  [seed=1002] step=10800/15000 avg_step=17.9ms elapsed=194s eta=75s eval(20)=0.650
  [seed=1002] step=11000/15000 avg_step=18.0ms elapsed=198s eta=72s eval(20)=0.650
  [seed=1002] step=11200/15000 avg_step=18.0ms elapsed=201s eta=68s eval(20)=0.650
  [seed=1002] step=11400/15000 avg_step=18.0ms elapsed=205s eta=65s eval(20)=0.650
  [seed=1002] step=11600/15000 avg_step=18.0ms elapsed=209s eta=61s eval(20)=0.700
  [seed=1002] step=11800/15000 avg_step=18.0ms elapsed=212s eta=58s eval(20)=0.700
  [seed=1002] step=12000/15000 avg_step=18.0ms elapsed=216s eta=54s eval(20)=0.750
  [seed=1002] step=12200/15000 avg_step=18.0ms elapsed=220s eta=50s eval(20)=0.750
  [seed=1002] step=12400/15000 avg_step=18.0ms elapsed=223s eta=47s eval(20)=0.700
  [seed=1002] step=12600/15000 avg_step=18.0ms elapsed=227s eta=43s eval(20)=0.700
  [seed=1002] step=12800/15000 avg_step=18.0ms elapsed=231s eta=40s eval(20)=0.750
  [seed=1002] step=13000/15000 avg_step=18.0ms elapsed=235s eta=36s eval(20)=0.750
  [seed=1002] step=13200/15000 avg_step=18.0ms elapsed=238s eta=32s eval(20)=0.750
  [seed=1002] step=13400/15000 avg_step=18.1ms elapsed=242s eta=29s eval(20)=0.750
